fecha_referencia,anio,bimestre,consumo_total_mixto,consumo_prom_dom,consumo_total_dom,consumo_prom_mixto,consumo_total,consumo_prom,consumo_prom_no_dom,consumo_total_no_dom,indice_des,colonia,alcaldia,latitud,longitud
2019-06-30,2019,3,159.72,42.5663636364,468.23,53.24,631,42.0666666667,3.05,3.05,ALTO,7 DE NOVIEMBRE,GUSTAVO A. MADERO,19.4552601937,-99.1126617526
2019-06-30,2019,3,0,35.9366666667,107.81,0,115.13,28.7825,7.32,7.32,MEDIO,7 DE NOVIEMBRE,GUSTAVO A. MADERO,19.4552601937,-99.1126617526
2019-06-30,2019,3,0,24.586,122.93,0,197.96,32.9933333333,75.03,75.03,POPULAR,7 DE NOVIEMBRE,GUSTAVO A. MADERO,19.4557195871,-99.1135822797
2019-06-30,2019,3,0,0,0,0,253.53,84.51,84.51,253.53,BAJO,GERTRUDIS SANCHEZ 3A SECCION,GUSTAVO A. MADERO,19.4596467168,-99.1044693641
2019-06-30,2019,3,56.72,67.43625,539.49,56.72,839.35,76.3045454545,121.57,243.14,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4741606185,-99.1467497317
2019-06-30,2019,3,439.77,35.6757692308,927.57,54.97125,1399.67,37.8289189189,10.7766666667,32.33,BAJO,TRABAJADORES DEL HIERRO,AZCAPOTZALCO,19.4786132637,-99.1505710391
2019-06-30,2019,3,991.8,22.381884058,4633.05,123.975,7693.64,33.3058008658,129.299375,2068.79,BAJO,COLTONGO,AZCAPOTZALCO,19.4802112624,-99.1523159396
2019-06-30,2019,3,0,0,0,0,305,152.5,152.5,305,POPULAR,COLTONGO,AZCAPOTZALCO,19.4790956153,-99.1489199748
2019-06-30,2019,3,184.86,33.6611764706,1716.72,46.215,1903.66,33.9939285714,2.08,2.08,BAJO,TRABAJADORES DEL HIERRO,AZCAPOTZALCO,19.4785851242,-99.1488473055
2019-06-30,2019,3,10.98,51.9125,207.65,10.98,237.54,29.6925,6.30333333333,18.91,BAJO,TRABAJADORES DEL HIERRO,AZCAPOTZALCO,19.4772727955,-99.1479205102
2019-06-30,2019,3,272.52,27.882173913,641.29,38.9314285714,972.98,29.4842424242,19.7233333333,59.17,BAJO,TRABAJADORES DEL HIERRO,AZCAPOTZALCO,19.4781335949,-99.1507408878
2019-06-30,2019,3,63.8,37.7093333333,1131.28,31.9,1195.08,36.2145454545,0,0,BAJO,PRO HOGAR II,AZCAPOTZALCO,19.4789219563,-99.1562313253
2019-06-30,2019,3,211.67,27.7677272727,610.89,70.5566666667,827.8,31.8384615385,5.24,5.24,BAJO,TRABAJADORES DEL HIERRO,AZCAPOTZALCO,19.4767578432,-99.1478878893
2019-06-30,2019,3,103.1,30.435,243.48,103.1,359.73,32.7027272727,6.575,13.15,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4768572203,-99.1496791839
2019-06-30,2019,3,422.14,39.7077419355,1230.94,52.7675,1661.62,41.5405,8.54,8.54,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4771746704,-99.151148571
2019-06-30,2019,3,291.64,59.9284615385,779.07,72.91,1082.3,60.1277777778,11.59,11.59,BAJO,PRO HOGAR II,AZCAPOTZALCO,19.4752596477,-99.1581066994
2019-06-30,2019,3,0,28.06,28.06,0,51.02,17.0066666667,11.48,22.96,MEDIO,PRO HOGAR II,AZCAPOTZALCO,19.4775094703,-99.1563781296
2019-06-30,2019,3,457.26,43.74,1355.94,114.315,1838.87,47.1505128205,6.4175,25.67,BAJO,PRO HOGAR II,AZCAPOTZALCO,19.4772419499,-99.1546373049
2019-06-30,2019,3,396.81,29.6846153846,771.8,56.6871428571,1187.52,34.9270588235,18.91,18.91,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4767139517,-99.1511666429
2019-06-30,2019,3,143.98,33.3166666667,299.85,71.99,488.97,37.6130769231,22.57,45.14,BAJO,ARENAL,AZCAPOTZALCO,19.4668561839,-99.1513359606
2019-06-30,2019,3,186.71,48.1225,1347.43,23.33875,1539.26,38.4815,1.28,5.12,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4762246533,-99.1512479694
2019-06-30,2019,3,144.44,43.5215384615,565.78,48.1466666667,772.44,45.4376470588,62.22,62.22,BAJO,PRO HOGAR II,AZCAPOTZALCO,19.4762103747,-99.1579188865
2019-06-30,2019,3,499.42,37.7930769231,982.62,45.4018181818,1482.04,39.0010526316,0,0,BAJO,PRO HOGAR II,AZCAPOTZALCO,19.4765492782,-99.1565390053
2019-06-30,2019,3,1393.46,37.7741666667,453.29,63.3390909091,1942.91,48.57275,16.0266666667,96.16,BAJO,PRO HOGAR II,AZCAPOTZALCO,19.4757490879,-99.1548919279
2019-06-30,2019,3,674.53,24.8622222222,223.76,134.906,1188.84,49.535,29.055,290.55,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4753809279,-99.152663826
2019-06-30,2019,3,301.83,25.781,515.62,100.61,822.95,32.918,2.75,5.5,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4748895784,-99.1492207473
2019-06-30,2019,3,50.96,39.9182857143,1397.14,25.48,1748.13,42.6373170732,75.0075,300.03,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.475206981,-99.1477415829
2019-06-30,2019,3,341.08,39.5427906977,1700.34,42.635,2076.86,38.4603703704,11.8133333333,35.44,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4744858985,-99.1497373755
2019-06-30,2019,3,990.02,45.6652380952,958.97,66.0013333333,2053.95,52.6653846154,34.9866666667,104.96,BAJO,PRO HOGAR II,AZCAPOTZALCO,19.475283765,-99.1549707939
2019-06-30,2019,3,338.38,35.8055555556,966.75,56.3966666667,1433.11,40.946,63.99,127.98,BAJO,PRO HOGAR II,AZCAPOTZALCO,19.4747936717,-99.1550538982
2019-06-30,2019,3,434.29,56.4444827586,1636.89,62.0414285714,2071.18,55.9778378378,0,0,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4742626951,-99.1515803787
2019-06-30,2019,3,436.92,46.5903125,1490.89,109.23,1976.61,52.0160526316,24.4,48.8,BAJO,PRO HOGAR I,AZCAPOTZALCO,19.4737963251,-99.1516564125
2019-06-30,2019,3,189.62,51.7746153846,673.07,37.924,905.25,41.1477272727,10.64,42.56,BAJO,ALDANA,AZCAPOTZALCO,19.4728447695,-99.1495437179
2019-06-30,2019,3,191.5,32.2066666667,386.48,47.875,577.98,32.11,0,0,BAJO,PORVENIR,AZCAPOTZALCO,19.4725938999,-99.1478370692
2019-06-30,2019,3,23.18,59.2525,474.02,23.18,529.9,48.1727272727,16.35,32.7,BAJO,LIBERACION,AZCAPOTZALCO,19.4725141794,-99.1523502785
2019-06-30,2019,3,134.27,58.4888888889,526.4,67.135,697.33,46.4886666667,9.165,36.66,BAJO,AGUILERA,AZCAPOTZALCO,19.4733830146,-99.1584359289
2019-06-30,2019,3,15.26,29.3791666667,352.55,15.26,416.61,27.774,24.4,48.8,POPULAR,LIBERACION,AZCAPOTZALCO,19.4711952536,-99.1520144916
2019-06-30,2019,3,38.05,43.8744186047,1886.6,19.025,1948.25,41.4521276596,11.8,23.6,POPULAR,PORVENIR,AZCAPOTZALCO,19.4701160639,-99.1471622957
2019-06-30,2019,3,38.21,42.3494117647,1439.88,19.105,1490.29,40.2781081081,12.2,12.2,BAJO,PORVENIR,AZCAPOTZALCO,19.4704652931,-99.1481853518
2019-06-30,2019,3,209.15,41.7356521739,959.92,34.8583333333,1178.36,35.7078787879,2.3225,9.29,BAJO,DEL GAS,AZCAPOTZALCO,19.4716378326,-99.155288766
2019-06-30,2019,3,312.98,62.8711764706,1068.81,78.245,1414.44,56.5776,8.1625,32.65,BAJO,DEL GAS,AZCAPOTZALCO,19.4722141024,-99.1586502515
2019-06-30,2019,3,265.88,36.6095,732.19,53.176,1004.78,37.2140740741,3.355,6.71,BAJO,DEL GAS,AZCAPOTZALCO,19.471503714,-99.1578496148
2019-06-30,2019,3,361.14,75.0514285714,525.36,361.14,999.56,90.8690909091,37.6866666667,113.06,BAJO,ARENAL,AZCAPOTZALCO,19.4659281121,-99.1514872319
2019-06-30,2019,3,67.13,25.2229032258,1563.82,22.3766666667,1650.91,24.6404477612,9.98,19.96,POPULAR,DEL GAS,AZCAPOTZALCO,19.4709955557,-99.1562218532
2019-06-30,2019,3,201.74,28.4923809524,1196.68,33.6233333333,1504.8,27.36,15.1971428571,106.38,BAJO,LIBERACION,AZCAPOTZALCO,19.470465744,-99.1518218435
2019-06-30,2019,3,598.06,63.5821428571,890.15,85.4371428571,1490.04,67.7290909091,1.83,1.83,BAJO,ALDANA,AZCAPOTZALCO,19.4701924913,-99.1500189784
2019-06-30,2019,3,46.36,30.6858333333,368.23,15.4533333333,419.47,26.216875,4.88,4.88,BAJO,PORVENIR,AZCAPOTZALCO,19.4693194191,-99.1449174792
2019-06-30,2019,3,313.48,51.69,465.21,39.185,778.69,43.2605555556,0,0,BAJO,LA RAZA,AZCAPOTZALCO,19.4651728866,-99.1465502423
2019-06-30,2019,3,320.25,44.9869230769,584.83,53.375,970.03,44.0922727273,21.65,64.95,BAJO,LA RAZA,AZCAPOTZALCO,19.4661352241,-99.1465643787
2019-06-30,2019,3,214.12,24.6254166667,591.01,71.3733333333,818.55,28.225862069,6.71,13.42,BAJO,LA RAZA,AZCAPOTZALCO,19.4661384216,-99.1470669004
